id;nom;prenom;surnom;birth;death;pays;pseudo;slug
25;Rabaté;Pascal;NULL;13/08/1961 00:00;NULL;FRANCE;NULL;
26;Diaz Canales;Juan;CanalesJuanDiaz.jpg;01/01/1972 00:00;NULL;ESPAGNE;NULL;
27;Guarnido;Juanjo;guarnido.jpg;01/01/1967 00:00;NULL;ESPAGNE;NULL;
28;Abouet;Marguerite;NULL;01/01/1971 00:00;NULL;CÔTE D'IVOIRE;NULL;
29;Oubrerie;Clément;NULL;NULL;NULL;NULL;NULL;
30;Mandryka;Nikita;Mandryka.jpg;20/10/1940 00:00;NULL;NULL;NULL;
31;Frezzato;Massimiliano;NULL;12/03/1967 00:00;NULL;ITALIE;NULL;
32;Gratien;Eric;NULL;NULL;NULL;NULL;NULL;
33;David;Didier;Cromwell_16042002.jpg;09/09/1959 00:00;NULL;FRANCE;Cromwell;
34;Abolin;Georges;NULL;09/05/1969 00:00;NULL;NULL;NULL;
35;Pont;Olivier;pontphoto.jpg;01/06/1969 00:00;NULL;FRANCE;NULL;
36;Chagnaud;Jean-Jacques;chagnaudjeanjacques.jpg;NULL;NULL;NULL;NULL;
37;Szalewa;Igor;NULL;01/01/1966 00:00;NULL;France;NULL;
38;Ryser;Nicolas;NULL;NULL;NULL;NULL;NULL;
39;Polonsky;Stephan;NULL;NULL;NULL;NULL;NULL;
40; Phoussera;Ing;NULL;24/06/1961 00:00;NULL;CAMBODGE;Séra;
41;Siefer;Laurent;NULL;NULL;NULL;NULL;NULL;
42;Pontarolo;Frédéric;pontarolo.jpg;10/02/1970 00:00;NULL;FRANCE;NULL;
43;Omond;Eric;OmondEric.jpg;16/05/1968 00:00;NULL;France;NULL;
44;Beuzelin;Boris;beuzelin.JPG;30/06/1971 00:00;NULL;FRANCE;NULL;
45;Gallié;Mathieu;NULL;NULL;NULL;France;NULL;
46;Andréae;Jean-Baptiste;Andreae.gif;10/01/1964 00:00;NULL;France;NULL;
47;Moore;Alan;alanmoore.jpg;18/11/1953 00:00;NULL;ANGLETERRE;NULL;
48;Gibbons;Dave;GibbonsDave.jpg;14/04/1949 00:00;NULL;ANGLETERRE;NULL;
49;Higgins;John;NULL;NULL;NULL;NULL;NULL;
50;Burns;Charles;burnscharles.jpg;27/09/1955 00:00;NULL;USA;NULL;
51;Eisner;William Erwin;NULL;06/03/2017 00:00;03/01/2005 00:00;USA;Eisner, Will;
52;Miller;Frank;NULL;NULL;NULL;USA;NULL;
53;Mizuki;Shigeru;26256.jpg;08/03/2022 00:00;NULL;JAPON;NULL;
54;Kusumi;Masayuki;NULL;NULL;NULL;JAPON;NULL;
55;Taniguchi;Jirô;taniguchijiro.jpg;12/08/1947 00:00;NULL;JAPON;NULL;
56;Rabagliati;Michel;NULL;NULL;NULL;CANADA;NULL;
57;Lapierre;François;lapierrefrancoisphoto.jpg;21/03/1970 00:00;NULL;Québec;NULL;
58;Beaulieu;Jimmy;Beaulieu_24042005.jpg;01/01/1974 00:00;NULL;CANADA;NULL;
59;Larcenet;Manu;larcenetmanu.jpg;06/05/1969 00:00;NULL;FRANCE;NULL;
60;Larcenet;Patrice;NULL;05/06/1971 00:00;NULL;FRANCE;NULL;
61;Chabosy;Laurent;ChabosyLaurentTrondheim.jpg;01/01/1964 00:00;NULL;FRANCE;Trondheim, Lewis;
62;Findakly;Brigitte;NULL;NULL;NULL;FRANCE;NULL;
63;Ferri;Jean-Yves;ferrijeanyves.jpg;NULL;NULL;NULL;NULL;
64;Sfar;Joann;NULL;28/08/1971 00:00;NULL;FRANCE;NULL;
65;Guibert;Emmanuel;15297.jpg;01/01/1964 00:00;NULL;France;NULL;
66;Lindingre;Yan;NULL;NULL;NULL;NULL;NULL;
67;Dupuy;Philippe;dupuy.jpeg;15/12/1960 00:00;NULL;FRANCE;NULL;
68;Legris;Claude;NULL;NULL;NULL;NULL;NULL;
69;Berberian;Charles;berberian.jpg;28/05/1959 00:00;NULL;FRANCE;NULL;
70;Sapin;Mathieu;NULL;NULL;NULL;NULL;NULL;
71;Chedru;Delphine;NULL;NULL;NULL;NULL;NULL;
72;Le Gall;Frank;legallfranck.jpg;23/09/1959 00:00;NULL;FRANCE;NULL;
73;Boulard;Hubert;hubert.jpg;01/01/1971 00:00;NULL;NULL;Hubert;
74; Kerascoët;NULL;kerascoet.jpg;NULL;NULL;FRANCE;Kerascoët;
75;Blain;Christophe;blain.jpg;10/08/1970 00:00;NULL;FRANCE;NULL;
76; Pezzali;Walter;NULL;NULL;NULL;NULL;Walter;
77;Loisel;Régis;loiselregis07.jpg;04/12/1951 00:00;NULL;FRANCE;NULL;
78;Cosandey;Bernard;cosey.jpg;14/06/1950 00:00;NULL;SUISSE;Cosey;
79; Hislaire;Bernard;yslaireph.jpg;11/01/1957 00:00;NULL;BELGIQUE;Yslaire;
80;Le Pennetier;Yann;lepennetieryannbalac.jpg;NULL;NULL;FRANCE;Balac;
81;Bastide;Jean;NULL;01/01/1982 00:00;NULL;NULL;NULL;
82;Mezil;Vincent;NULL;01/01/1983 00:00;NULL;France;NULL;
83;Le Tendre;Serge;letendreserge.jpg;01/12/1946 00:00;NULL;FRANCE;NULL;
84; Legeard;Dominique;lidwine.jpg;12/05/1960 00:00;NULL;FRANCE;Lidwine;
85;Aouamri;Mohamed;aouamri.jpg;24/03/1957 00:00;NULL;ALGERIE;NULL;
86;Lencot;Yves;NULL;29/04/1959 00:00;NULL;France;NULL;
87;Quilici;Laurence;NULL;NULL;NULL;NULL;NULL;
88; Wasem;Pierre;WAZEM.JPG;16/07/1970 00:00;NULL;SUISSE;Wazem, Pierre;
89;Peeters;Frederik;22609.jpg;14/08/1974 00:00;NULL;SUISSE;NULL;
90;Ralenti;Albertine;NULL;NULL;NULL;NULL;NULL;
91;Ayroles;Alain;AyrollesAlain.jpg;26/01/1968 00:00;NULL;FRANCE;NULL;
92;Masbou;Jean-Luc;masboujeanluc.jpg;14/03/1963 00:00;NULL;FRANCE;NULL;
93;Mayer;Jean-marc;NULL;NULL;NULL;NULL;NULL;
94;Moynot;Emmanuel;moynot_emmanuel.jpeg;15/04/1960 00:00;NULL;FRANCE;NULL;
95;Bravo;Emile;bravoemile.jpg;18/09/1964 00:00;NULL;FRANCE;NULL;
96;Tripp;Jean-Louis;tripp.jpg;04/02/1958 00:00;NULL;FRANCE;NULL;
97; Girard;Philippe;NULL;NULL;NULL;QUÉBEC;Phlppgrrd;
98;Girard;Pascal;NULL;NULL;NULL;QUÉBEC;NULL;
99;Duberger;Jean-sébastien;NULL;NULL;NULL;NULL;Dub;
100;Tan;Shaun;shaun.jpg;NULL;NULL;AUSTRALIE;NULL;
